# CSV-File created with merge-csv.com
# -----------------------------------------------------------

,Name,Brand Name,Technical Name,Category,Product Brief,Mode,Crop,Target,Pack Sizes,Dosage,Features,Benefits,Image Link,Product Link
5,Fenox,Dhanuka,Pinoxaden 5.1% Ec,Herbicides,"Fenox (Pinoxaden 5.1% Ec) a post-emergent selective grass weed herbicide.  Fenox is a post-emergent systemic herbicide of the phenylpyrazole group, which effectively controls a broad spectrum of grass weeds in Wheat. It has built-in adjuvant for faster absorption in weeds. Offers excellent control of Phalaris minor and Avena sp. only. It is absorbed by leaves within 60 minutes – rain fastness. Fenox is safe to Wheat crop and subsequent crops.","Pinoxaden represents a unique new structure of a new chemical class. After uptake, pinoxaden interferes with the lipid metabolism in plant cells. The herbicide acts by inhibiting the enzyme Acetyl-CoA carboxylase (ACCase), interrupting the synthesis of fatty acids and as a final consequence impacts the formation of biomembranes ",Wheat,Pinoxaden 5.1% Ec,"400 ml, 2 Ltr",320 - 360ml,"Faster result in comparison with the competition.
Fenox has a wider window of an application.
Longer duration of control.",,https://www.dhanuka.com/storage/products/May2019/aZxR2iVy3eqGxbM6tahL.png,https://www.dhanuka.com/herbicide/fenox
6,Nabood,Dhanuka,Carfentrazone Ethyl 40% DF,Herbicides,"NABOOD (Carfentrazone Ethyl 40% DF) belongs to a novel class of chemistry, the aryl triazolinones, which provides ‘best in class’ control of broad leaf weeds by inhibiting the Protoporyphyrinogen Oxidase (PPO) enzyme in the target weeds. This green chemistry is highly lethal to the target weeds and provides quick knockdown of the target weeds. Acting as a post-emergent herbicide for Wheat crop, Nabood acts on the cell membrane resulting in the immediate collapse of the target weeds.",,"Wheat, Direct seeded Rice",Carfentrazone Ethyl 40% DF,20 gm,"20 gm, 25 gm","Nabood is a post-emergent, foliar herbicide for managing the BLWs in wheat. 
Nabood is registered for use against all broadleaf weeds in wheat with excellent control of key weeds like Chenopodium album, Melilotus Indica, Melilotus alba, Medicago denticulata etc.
Nabood has excellent crop safety and can be used on all the varieties of wheat grown in India.
Nabood has very good compatibility with most grass herbicides of wheat crop.",,https://www.dhanuka.com/storage/products/May2019/qfdYGUwfeMWg8ChMBO5N.png,https://www.dhanuka.com/herbicide/nabood
7,Weedmar Super,Dhanuka,"2,4-D Amine Salt 58% SL",Herbicides,"Weedmar Super (2,4-D Amine Salt 58% SL) and Weedmar are the selective, systemic weedicides of Phenoxyacetic group.","Weedmar Super is used on a wide variety of terrestrial and aquatic broadleaf weeds. It has little effect on grasses. It appears to work by causing uncontrolled cell division in vascular tissue. Abnormal increases in cell wall plasticity, biosynthesis of proteins, and production of ethylene occur in plant tissues following exposure, and these processes are responsible for uncontrolled cell division. The ester forms of 2, 4-D penetrate foliage, whereas plant roots absorb the salt forms. 2, 4-D appears to be similar in action to other auxin-type herbicides. .It is absorbed by the leaves and roots and translocated in to the weed plants.","Sorghum, Maize, Wheat, Sugarcane, Potato, Aquatic Weeds Non crop area","2,4-D Amine Salt 58% SL","250 ml, 500 ml, 1 ltr, 2.5 ltr, 5 ltr","600 ml, 600 ml, 300-500 ml, 300-500 ml, 500 ml, 600 ml","Apart from effectively controlling broad leaf weeds, these also control the Cyperus sp.
There is no adverse effect on crops with recommended dose of Weedmar or Weedmar Super.",,https://www.dhanuka.com/storage/products/August2021/sq3llAsqGuCWZyPr4UX6.png,https://www.dhanuka.com/herbicide/weedmar-super
8,Ozone,Dhanuka,Paraquat Dichloride 24% SL,Herbicides,"Ozone ( Paraquat Dichloride 24% SL) is broad spectrum, non selective & contact herbicide containing 24% Paraquat dichloride A.I which effectively controls broadleaved weeds & grasses.
During photosynthesis superoxide generated, which damages cell membranes and cytoplasm.","Non-Selective contact herbicide, absorbed by the foliage, with some translocation in the xylem.","Tea, Potato, Cotton, Rubber, Paddy, Wheat, Grapes, Aquatic Weeds",Paraquat Dichloride 24% SL,"500 ml, 1 ltr, 5 ltr","340-1700 ml, 424-850 ml, 500-850 ml, 500-1000 ml, 850-1600 ml, 1700 ml, 1000 ml, 17000-1000, 1680 ml","An appropriate herbicide for the conservation and no-till agriculture (controls only the foil parts of the weed), thereby promoting intact roots and preventing soil erosion.
It is used as post emergence directed application & pre-plant application in many crops.
It damages cell membranes & cytoplasm during photosynthesis by producing superoxide.
Within minutes of application it gains non washing properties.",,https://www.dhanuka.com/storage/products/July2022/a5EFxdhhXqjLFuG7F7Wq.png,https://www.dhanuka.com/herbicide/ozone
9,Dhanutop,Dhanuka,Pendimethalin 30% EC,Herbicides,Dhanutop (Pendimethalin 30% EC) Pendimethalin is an herbicide of the dinitroaniline class used in pre emergence and post emergence applications to control annual grasses and certain broadleaf weeds. It inhibits cell division and cell elongation. Microtubule assembly inhibition.,"Selective herbicide, absorbed by the roots and leaves. Affected plants die shortly after germination or following emergence from the soil.","Onion, Cotton, Soybean, Wheat, Paddy, Black gram, Green gram, ",Pendimethalin 30% EC,,"1.0 – 1.5 lt, 1.0 – 1.5 lt, 1.0 – 1.5 lt, 1.0 – 1.5 lt, 1.5 – 2.0 lt, 1.0 – 1.5 lt, 1.0 – 1.5 lt, ","Dhanutop belongs to Dinitroaniline group and controls both, narrow and broad leaf weeds.
Dhanutop is applied as pre-emergence herbicide.
Dhanutop is a selective herbicide to be used before emergence of weeds and crops.
After application of Dhanutop, a thin layer is formed at soil surface which prevents the germination of weeds.
There must be sufficient soil moisture at the time of application of Dhanutop.",,https://www.dhanuka.com/storage/products/August2021/bnyBfTLmYWfLZy4mxINY.png,https://www.dhanuka.com/herbicide/dhanutop
10,Craze,Dhanuka,Pretilachlor 50% EC,Herbicides,"Craze (Pretilachlor 50% EC) is a pre-emergence, broad-spectrum herbicide of Chloroacetamide group which controls all type of weeds in rice. Craze absorbed primarily by the germinating shoots, and secondarily by the roots, with trans-location throughout the plant, giving higer concentrations in vegetative parts than in reproductive parts. ","Selective herbicide. It is taken up readily by the hypocotyls, mesocotyls and coleoptiles, and to a lesser extent, by the roots of germinating weeds.
Keep 2-3 cm water in the crop and spray uniformly, immediately after transplanting to 4 of days of transplanting or Treat 20-25 kg dry sand with 500 ml of Craze and apply it in the crop immediately after transplanting to within 4 days of transplanting.",Paddy,Pretilachlor 50% EC,"100 ml, 250 ml, 500 ml,1 ltr, 5 ltr",500 ml,"Craze is applied before emergence of weeds, within four days of transplanting.
Craze controls both narrow and broad leaf weeds before the emergence.
Craze gives control for a longer time.
Craze is safe to rice crop as compared to other weedicides used in this crop.
Craze is suitable for integrated weed management.",,https://www.dhanuka.com/storage/products/August2021/aA5vwUWBzKrHve350xTI.png,https://www.dhanuka.com/herbicide/craze
11,Barrier,Dhanuka,Metribuzin 70% WP,Herbicides,"Barrier ( Metribuzin 70% WP ) is combination which is is a selective, systemic and contact herbicide of Triazinone group, which inhibits the Photosynthesis at Photo-system II. It works  for the control of weeds in sugarcane, potato, tomato, soybean and wheat. It acts through the roots and leaves and therefore, can be used for both pre and post emergence applications. It controls both narrow and broad leaf weeds.","Selective systemic herbicide, absorbed predominantly by the roots, but also by the leaves, with translocation in the xylem. It inhibits photosynthesis. It acts on both grasses and broad leaf weeds.","Sugarcane, Potato, Tomato, Soybean, Wheat",Metribuzin 70% WP,"100 gm, 250 gm, 500 gm","400 ml, 300 ml, 300 ml, 300 ml, 100 ml","It effectively controls Phalaris minor, which has developed resistance to most of the herbicides in addition to many other grasses and broad leaf weeds.
It is economical because of its broad spectrum activity and low dose.
No residual effect on succeeding crops.",,https://www.dhanuka.com/storage/products/July2022/ZzkoCj1OiaGaenuiLUR6.png,https://www.dhanuka.com/herbicide/barrier
12,Noweed,Dhanuka,Glyphosate 41% SL,Herbicides,"Noweeed ( Glyphosate 41% SL ) is a non-selective systemic herbicide of Organophosphorus (Glycine and phosphonales) group, which inhibits the EPSP synthesis in weed plants. It controls very effectively both annual and perennial weeds.
After spraying Noweed,  it is absorbed by the weed plants and translocates up to roots and kills all types of weeds completely. It is also used to control weeds in plantation crops, water channels, bunds and open fields.","Glyphosate is a herbicide used in agriculture and non-crop situations for the control of a wide range of weeds. Once absorbed by the plant, glyphosate binds to and blocks the activity of the enzyme enolpyruvylshikimate.","Tea, Open Fields",Glyphosate 41% SL,"500 ml, 1 ltr, 5 ltr","0.8 to 1.2 ltr, 0.8 to 1.2 ltr","Non selective herbicide and it can be used on active and standing weeds.
Systemic herbicide so it translocates in to weeds and eradicate weeds from root level.
Control all kinds of green vegetation.
Very good for cypnis and cynodon like difficult weeds control.
Inactive when it comes in contact with sod so it is very safe to environment and sod.",,https://www.dhanuka.com/storage/products/August2021/7KsROOtccKWBZbeLqbFb.png,https://www.dhanuka.com/herbicide/noweed
13,Dabooch,Dhanuka,Diclosulam 84% WDG,Herbicides,"Dabooch, a member of Triazolopyrimidine Sulfonamide family, is a pre-emergence herbicide applied in Soybean crop within 3 days after sowing. It is Systemic in action and provides superior control of key broad leaf weeds in soybean in addition to suppression of key grasses and sedges. Safe to soybean as well as succeeding crops at recommended dose.",Dabooch inhibits aceto lactate synthase enzyme (ALS) in weeds and stops protein synthesis & control the weeds.,"Soybean, Groundnut",Diclosulam 84% WDG,12.4 GM Pouch,"12.4 gm per acre, 12.4 gm per acre","Weed control from day one: Controls weed before they emerge out of soil surface hence they do not cause any losses to the crop.
Spraying and sowing together: Dabooch provides hassle free weed control where sowing and herbicide application can be completed in the same time frame leading to cost saving.
Dabooch application timing is not dependent on rains, however, normal rainfall after application supports its performance.
Safe to soybean and key succeeding crops.",,https://www.dhanuka.com/storage/products/September2021/8Yu7wxLuN4jNKBv4x6uI.png,https://www.dhanuka.com/herbicide/dabooch
14,Dozo Maxx,Dhanuka,Pyrithiobac Sodium 6% EC w/w+ Quizalofop-ethyl 4% EC w/w MEC,Herbicides,"Dozo Maxx is a selective herbicide for cotton crop. It's having advance ME formulation ,which is superior & thermodynamically stable. It controls major broad and narrow leaves weeds.",Pyrithiobac sodium is absorbed by roots and shoots and translocated to growing points. It inhibits the enzyme acetolactate synthase (ALS) involved in amino acid synthesis. Quizalofop Ethyl does Inhibition of acetyl CoA carboxylase (ACCase),Cotton,Pyrithiobac Sodium 6% EC w/w+ Quizalofop-ethyl 4% EC w/w MEC,"500 ml, 1 ltr",450 ml per acre,"Dozo Maxx is safe on cotton crop and does not harm at any stage of growth & development
Dozo Maxx controls major broad and Narrow leaves weeds
Dozo Maxx is post emergent herbicide & time of application would be 2-3 leaves weeds stage
DOZO Maxx provides longer duration of weed free period of 25-30 days after application",,https://www.dhanuka.com/storage/products/July2020/aaeCmUoNo2FadL6GSJDi.png,https://www.dhanuka.com/herbicide/dozo-maxx
15,Onekil,Dhanuka,Quizalofop-ethyl 4% + Oxyfluorfen 6% EC,Herbicides,"Onekil 10% EC is a combination of two new advanced chemistry which is a Post emergence, contact and systemic herbicide, which controls narrow leaf weeds as well as broad leaf weeds. Onekil is absorbed by the crop’s foliage and root system and provides longer residual control from most of the weeds. Moreover, Onekil has 1-2 hours of rain fastness. ","Onekil has a dual mode of action and has excellent translocation activity.It is absorbed through leaves and moves downwards through the phloem. It is also absorbed by roots, and moves upward through the xylem. It's chemistry inhibits the fatty acid synthesis through acetyl-CoA carboxylase & disrupt the membrane through lipid peroxidation.",Onion,Quizalofop-ethyl 4% + Oxyfluorfen 6% EC,250 ml & 400 ml,400 ml,"Onekil 10% EC is a complete solution for weed free Onion crop.
Onekil 10% EC is an innovative product developed by Dhanuka Agritech Limited.
Onekil 10% EC is a post emergence with dual mode of action which controls most of the annual grasses and broad leaf weeds.
Onekil 10% EC is absorbed by foliage and root system.
1-2 hours rain fastness.",,https://www.dhanuka.com/storage/products/September2021/CdTkGrztsoSA6ZDobbUj.png,https://www.dhanuka.com/herbicide/onekil
16,Tornado,Dhanuka,Quizalofop ethyl 7.5% + Imazethapyr 15% EC,Herbicides,Tornado is a broad-spectrum herbicide for post-emergence control of broad leaf & Grassy weeds. It is a systemic herbicide absorbed by the root system and the foliage. It gives longer weed control and is safe for subsequent crop. ,Tornado has a dual mode of Action. It is absorbed by the roots and the foliage with translocation with Xylem and Ploem accumulation in the merismetic regions. It distrupts protein and DNA synthesis. ,Groundnut,Quizalofop ethyl 7.5% + Imazethapyr 15% EC,"175ml, 500ml, 1 litre",175 ml,"Unique Chemistry: Tornado has a unique formulation combining two diﬀerent actives with dual mode of action.
Fast action: Tornado has quick action on weeds and is very easy to use.
Rain Fastness: Tornado requires Only 1- 2 hrs of Rain free period for complete absorption into the plant system.
One Stop solution : Complete solution for control of Grassy & Broadleaf weeds in Groundnut.
Safe to crop: Tornado does not harm crop of Groundnut at recommended dose.
Increase Yield: Early control of weeds resulting in higher yield.",,https://www.dhanuka.com/storage/products/July2022/gxhPmPQ7igr8kfYouFox.png,https://www.dhanuka.com/herbicide/tornado
17,Cornex,Dhanuka,Halosulfuron methyl 5% + Atrazine 48% WG,Herbicides,"Cornex (Halosulfuron methyl 5% + Atrazine 48% WG) is a selective, systemic, post-emergence & broad-spectrum herbicide that effectively controls Cyperus rotundus, major broad leaf, and major narrow leaf weeds in maize crop.",Cornex 53% WG has excellent translocation activity. It is absorbed through leaves and moves downwards through phloem and also absorbed by roots of weeds & nuts of Cyperus rotundus and moves upwards through xylem. Cornex inhibits Amino acid synthesis and photosynthesis of weeds and as a result the weeds die.,Maize,Halosulfuron methyl 5% + Atrazine 48% WG,225gm / 450gm,450 gm/ Acre,"One-shot solution to control Cyperus rotundus, broad leaf and narrow leaf weeds in maize crop.
Cornex has unique formulation, which is combining of two different chemical with different mode of action.
Cornex provides longer duration control with foliar and soil residual activity.
Cornex has 1-4 hours of rain-fastness.
Early control of weeds resulting higher yield and more profitability.",,https://www.dhanuka.com/storage/products/July2022/SLrfcOYHtzWVwZLuywCr.webp,https://www.dhanuka.com/herbicide/cornex
0,Foster,Dhanuka,Cyflumetofen 20.00% SC,Insecticides,"FOSTER belongs to new chemistry, benzoyl acetonitrile, the only miticide in this category. It  is registered in more than 20 countries. It has long residual activity, hence longer duration of control.","FOSTER acts on mitochondria cell and inhibits ATP synthesis in mitochondria, this leads to paralysis and death of affected red mites. It  is the only miticide, which acts on Complex II and thus no possibility of cross resistance ",Tea,Cyflumetofen 20.00% SC,"100 ml, 250 ml, 1 Ltr",250-300 ml,"FOSTER is highly effective against mites that have developed resistance to other miticides.
It provides excellent control on all stages of Red mites i.e. egg, larva, nymph & adult. 
Rain fastness (3 hrs.) – effective even when it rains after 3 hrs. of spray. 
Safe to crop & non toxic to beneficial insects.
It can provide excellent efficacy in a wide range of temperature.",,https://www.dhanuka.com/storage/products/August2021/R2PUp3AYqqrbDQ8qVSUo.png,https://www.dhanuka.com/insecticide/foster
1,Mortar,Dhanuka,Cartap Hydrochloride 75% SG,Insecticides,"Formulated with superior Japanese Technology, MORTAR is an exclusive SG formulation with Unique NTX  Mode of Action. It's ovicidal, larvicidal & adulticidal action against the target pest leads to excellent control of target pest.","MORTAR attacks on Central nervous system through its unique NTX action and causes paralysis by blocking central nervous system of insects.  It is having systemic, contact and translaminar action.",Paddy,Cartap Hydrochloride 75% SG,"100 gm, 250 gm, 500 gm, 1 Kg",170-200 gm,"Mortar controls all stages of insects (egg, larva, adult).
Mortar gives complete protection via sytemic, contact and translaminar action.
Mortar breaks the insect resistance and gives excellent resistance management (IRM)                         
Mortar is safe for beneficial insect, thus useful for IPM.                                                                   
Mortar is compatible with commonly used insecticide and fungicide.                                                     
Mortar leads to higher yield and high income.",,https://www.dhanuka.com/storage/products/August2022/S7peBTNm1w38H5rUsIBP.png,https://www.dhanuka.com/insecticide/mortar
2,D-One,Dhanuka,Sulfoxaflor 21.8% w/w SC,Insecticides,"D-One belongs to a new chemical class of insecticides-sulfoximines. D-One has unique mode of action and it shows three way activity-contact, translaminar and systemic. It is developed globally for use in major crops to control economically important sucking insect pests. ","D-One exhibits complex and unique interactions with insect nervous system that are distinct from those observed in other classes of insecticides. Along with contact action, D-One displays xylem-mobile movement in plant system and shows translaminar activity ","Paddy, Cotton",Sulfoxaflor 21.8% w/w SC,"75 ml, 150 ml, 500 ml","150 ml, 150 ml","D-one is a one stop solution for three major problems of cotton crop ( Jassid, Aphid, Mealy bug)        
D-One leads to fast action with excellent residual control.      
Application of D-One leads to lowering down overall insecticide cost & labor cost due to its excellent efficacy against pest.     
D-one results in better plant health, more greenary, more growth and softer & velvety leaf.
D-One is a  green triagle molecule that is very safe for the environment and beneficial insects.",,https://www.dhanuka.com/storage/products/July2022/qH8B6yPaX6wFWHw9PuoR.webp,https://www.dhanuka.com/insecticide/d-one
3,Fax Sc,Dhanuka,Fipronil 5% SC,Insecticides,"Fax SC (Fipronil 5% SC) is a modern insecticide of Phenylpyrazole group which controls the insect pests of rice, chilli, cabbage/cauliflower and sugarcane effectively. It has been proven to offer low dose, highly effective insect control against a broad range of economically important pests.","Fax SC controls the insects by its contact, stomach and systemic action. Primarily acts as an ingestion toxicant with some complimentary contact action and acts by interfering in nerve impulse transmission. It interferes with the passage of chloride ions through the Gamma Amino Butyric Acid (GABA) regulated chloride channel, thereby disrupting CNS activity and at sufficient doses, causing insect death.","Rice, Cabbage, Chilli, Sugarcane, Cotton",Fipronil 5% SC,"100 ml, 250 ml, 500 ml, 1 Ltr","400-600 ml, 320-400 ml, 400 ml, 600-800 ml, 600-800 ml","Fax SC gives effective and long duration control of thrips in various crops.
Fax SC is an ideal choice for IPM.
Fax SC has shown demonstrable Plant Growth Enhancement (PGE) effect in many crops.
Fax  SC is an excellent thripicide.",,https://www.dhanuka.com/storage/products/July2022/MvXoyXd2cZ8y2HaH2dQn.png,https://www.dhanuka.com/insecticide/fax-sc
4,Ad-fyre,Dhanuka,Imidacloprid 70% WG,Insecticides,Ad-fyre (Imidacloprid 70% Wg) is a systemic insecticide of Neonicotinoid group which controls the sucking insects and termites very effectively. Ad-fyre is also a suitable insecticide for Integrated Pest Management (IPM) programme.,"Ad-fyre antagonist to the nicotinic acetylcholine receptor in the central nervous system, It disturbs the proper signal transmission system leading to excitation of the nerve cell and consequently a disorder of the nervous system leading finally to the death of the treated insect.","Cotton, Rice, Okra, Cucumber",Imidacloprid 70% WG,"16 gm , 30 gm, 75 gm , 150 gm","12-14 gm, 12-14 gm, 12-14 gm, 14 gm","Ad-fyre is a product of most advanced German technology called Fluidised Bed Granulation Process which dissolves very fast in the water and forms a uniform and stable spray suspension.
Ad- fyre is safe for the plant and has better spread faster absorption of active ingredient by the plants resulting in better efficacy.",,https://www.dhanuka.com/storage/products/July2022/qjENxjQlwUBmL5Lo2XS8.png,https://www.dhanuka.com/insecticide/ad-fyre
5,Areva,Dhanuka,Thiamethoxam 25% WG,Insecticides,Areva (Thiamethoxam 25% Wg) is a granular soluble insecticide of Neonicotinoid group. It gives protection against insects for a longer period in comparison to other insecticides. Areva is safe to the environment in comparison to other insecticides because of its lesser dose per acre.,"Areva is absorbed quickly by plants and transported to all of its parts, including pollen, where it acts to deter insect feeding. An insect can absorb it in its stomach after feeding, or through direct contact, including through its tracheal system. The compound gets in the way of information transfer between nerve cells by interfering with nicotinic acetylcholine receptors in the central nervous system, and eventually paralyzes the muscles of the insects.","Rice, Cotton, Okra, Mango, Wheat, Mustard, Tomato, Brinjal, Tea, Potato, ",Thiamethoxam 25% WG,,"40 gm, 40 gm, 80 gm (WF), 40 gm, 4 gm/ 15 ltr, 20 gm, 20-40 gm, 80 gm, 80 gm, 40 gm, 40 gm; 80 gm, ","Areva is highly effective at low use rates against a broad spectrum of sucking, soil and leaf dwelling pests.
Areva is highly systemic and thus well suited for application as a foliar spray, drench or drip irrigation.
Areva has rapid uptake and fasts acting, regardless of dry and wet conditions, which contributes to its favourable safety and environmental profile.",,https://www.dhanuka.com/storage/products/August2021/0DGJsxsjV5KE2EzXYl8N.png,https://www.dhanuka.com/insecticide/areva
6,Apple,Dhanuka,Buprofezin 25% SC,Insecticides,"Apple (Buprofezin 25% Sc) is an Insecticide of "" Insect Growth Regulator Group"".It inhibits moulting of nymphs and larvae, leading to death.  it is a novel insecticide for integrated pest management ( IPM) and safe for environment. "," Apple is a growth regulator, acting as an inhibitor of chitin synthesis.","Cotton, Rice, Chilli, Mango, Grape",Buprofezin 25% SC,"250 ml, 500 ml, 1 Ltr","400 ml, 320 ml, 120-240 ml, 1-2 ml/ lit of water, 400-600 ml","Apple inhibits the chitin formation of insects. Apple hinders the formation of the exoskeleton in the nymphs which result in the death of the underdeveloped insects.         
Apple controls all the nymphal stages of insects & it reduces the egg-laying capacity of female insect.",,https://www.dhanuka.com/storage/products/May2019/0JbEfFpcUFC2BNk5qLL9.png,https://www.dhanuka.com/insecticide/apple
7,EM-1,Dhanuka,Emamectin Benzoate 5% SG,Insecticides,EM-1 (Emamectin Benzoate 5% Sg) is a modern insecticide of Avermectin group.EM-1 is a multipurpose world renowned soluble granular insecticid. ,EM-1 gives effective control of caterpillars by its contact and stomach poison action.,"Cotton, Okra, Cabbage & Cauliflower, Chilli, Brinjal, Red gram, Chickpea, Grapes, Tea",Emamectin Benzoate 5% SG,"10 gm, 50 gm ,100 gm, 250 gm, 500 gm, 1 kg","76-88 gm, 54-68 gm, 60-80 gm, 80 gm, 80 gm, 88 gm, 88 gm, 88 gm, 80 gm","EM-1 has a remarkable translaminar action by which it controls the caterpillars present on the lower surface of the leaves.
The caterpillars stop causing damage to crops after 2 hours of the application of EM-1.
EM-1 has a rain-fastness of 4 hours.
EM-1 is a suitable insecticide for Integrated Pest Management (IPM) system.",,https://www.dhanuka.com/storage/products/July2022/nLseMBLjRvrNBfPahPej.png,https://www.dhanuka.com/insecticide/em-1
8,Areva Super,Dhanuka,Thiamethoxam 30% FS,Insecticides,Areva Super (Thiamethoxam 30% Fs) is a systemic insecticide. Areva Super protects against target pests by interfering with receptors that transmit the message to continue feeding. Areva Super acts on different sites of action in the insect. Areva Super is to be used as a SEED DRESSER.,"Areva super has contact, stomach, systemic activity. Areva Super is an agonist of the nicotinic acetylcholine receptor, affecting the synapses in the insect central nervous system. ","Cotton, Sorghum, Wheat, Soybean, Chilli, Okra, Maize, Sunflower",Thiamethoxam 30% FS,"500 ml, 1 Ltr","4 ml/ kg seed, 4 ml/ kg seed, 1.32 ml/ kg seed, 4 ml/ kg seed, 2.8 ml/ kg seed, 2.28 ml/ kg seed, 3.2 ml/ kg seed, 4 ml/ kg seed","Areva super  Protects against target pests by interfering with receptors that transmit the message to continue feeding.
Areva super acts on different sites of action in the insect.
Areva super provides control of a wide range of early-season sucking and chewing, leaf-feeding and soil-dwelling insect pests, such as aphids, wireworms, flea beetles, and leaf miners.",,https://www.dhanuka.com/storage/products/July2022/1MnnSzpBXuwe8u2i5PdE.png,https://www.dhanuka.com/insecticide/areva-super
9,Domar,Dhanuka,Dinotefuran 20.00% SG,Insecticides,Domar (Dinotefuran 20% SG) is a new systemic insecticide with Quick Knock Down action giving longer duration control of Rice Brown Plant Hopper (BPH).,Domar acts on nervous system through contact & ingestion resulting in the cessation of feeding within few hours and death shortly after due to paralysis. It acts as an agonist of insect nicotinic acetylcholine receptors. ,"Rice, Cotton",Dinotefuran 20.00% SG,"100 gm, 250 gm, 500 gm","60-80 gm, 50-60 gm","Domar gives a Quick Knock Down effect.
Domar is highly effective against resistant Brown Plant Hopper.
Domar is highly systemic and Translaminar in action.
Domar has 3 hours rainfastness.
Domar protects crops from insects for a longer duration.",,https://www.dhanuka.com/storage/products/May2019/6ctUFFYJkHJI5Qy5b4nJ.png,https://www.dhanuka.com/insecticide/domar
10,Apply,Dhanuka,Pymetrozine 50% WG,Insecticides,"Apply (Pymetrozine 50% WG) has the best known chemistry for effective control on BPH, It is a systemic and trans laminar insecticide which paralysis the hoppers, stops egg-laying and the insects got killed from starvation.","Immediate crop protection through permanent inhibition of the feeding system. It paralyses hind legs of pests, results in dropping from plants & then pests die later from starvation.",Paddy,Pymetrozine 50% WG,"120 gm, 250 gm, 500 gm, 1 kg",120g,"It is a world class technology which gives immediate and effective control of BPH.
It has systemic and translaminar action which gives a longer duration of control.
It prevents egg laying capacity in adults and thus no hopper resurgence.
It is safe to the environment.",,https://www.dhanuka.com/storage/products/July2022/ymRdO5tAkqx8PeDzH93n.png,https://www.dhanuka.com/insecticide/apply
11,Markar,Dhanuka,Bifenthrin 10% EC,Insecticides,"Marker (Bifenthrin 10% EC) is a world-renowned, new generation, the broad-spectrum insecticide of Pyrethroid group. Markar through its contact and stomach action controls different types of larvae, whitefly, mites and jassids very effectively. Marker has strong bonding tendency in the soil thus it persists and exhibits longer duration extraordinary control of termite.",Markar affects insects by stomach and contact action and acts on the nervous system of insects and disrubs the function of neurons by interaction with the sodium channel.,"Cotton, Paddy, Sugarcane",Bifenthrin 10% EC,"100ml, 250ml, 500ml, 1 Ltr & 5 ltr","320 ml, 200 ml, 400 ml","Markar is a world-renowned, new generation, the broad-spectrum insecticide of Pyrethroid ester group.
Markar is an effective termiticide as well as insecticide controlling a wide range of insects like sucking and chewing insects in crops.
Markar has contact and stomach action, controls different types of larvae, whitefly, mites and jassids very effectively.
Markar has phyto-tonic effect which improves the vigour and keeps the crop healthy, thereby quality produce.",,https://www.dhanuka.com/storage/products/August2021/WBJmexpx09iW2qvm0wb4.png,https://www.dhanuka.com/insecticide/markar
12,Largo,Dhanuka,Spinetoram 11.7% SC,Insecticides,Largo belongs to the spinosyn class of insect management tools which is naturalists in origin . Largo Contains Spinetoram 11.7% SC as an active ingredient. Largo is Derived from the fermentation of saccharoplyspora spinosa ( a common soil bacterium) and is then chemically modified. Largo provides broad-spectrum insect control (Thrips & Lepidopteran insects) with excellent residual activity on a variety of crop. ,"Spinetoram has a unique mode of action no other group of insecticide acts on this perticuler site of nervous system, the active ingredient in  Largo does not interact with the known binding sites of other classes of insecticide. ","Cotton, Soyabean, Chilli",Spinetoram 11.7% SC,"20 ml, 100 ml, 180 ml","168-188 ml, 180 ml, 188-200 ml","Largo is a broad spectrum of activity & very efficient against multiple insect growth stages.
Largo contains contact and stomach poison with synthetic modifications of the ingredients.
Largo faster in action with better efficacy and longer duration of control.
Broad spectrum insect control (Thrips & Lepidopteran insect) with excellent residual activity.
Active by ingestion (stomach poison) and contact provide faster kill of insects.
World’s BEST Thripicide”- Largo penetrates leaves (translaminar) to provide control of thrips.
Provides long-lasting, broad-spectrum control of insect pests in a variety of crops.
Winner of Presidential Green Chemistry Challenge Award given by the US government.
Largo is very safe to the beneficial insect.
A new and effective tool for Integrated Pest Management.
Largo has rapid penetration & Modern  Solution technology.",,https://www.dhanuka.com/storage/products/August2021/KVIfIE0Cr4bjLP6PdAUz.png,https://www.dhanuka.com/insecticide/largo
13,Media Super,Dhanuka,Imidacloprid 30.5% SC,Insecticides,"Media Super (Imidacloprid 30.5% Sc) controls the Sucking pest of various crops very effectively. Media Super SC formulation helps to increase the efficiency of wetting, spreading and absorption on the leaf surface. Being systemic in nature, it is relatively safer to natural enemies and acts selectively on sucking pests. ",Media Super is a systemic insecticide that acts as an insect neurotoxin and belongs to a class of chemicals called the neonicotinoids which act on the central nervous system of insects. ,"Cotton, Paddy",Imidacloprid 30.5% SC,"50ml, 100ml, 250ml, 500ml, 1 Ltr","24-30 ml, 24-30 ml","Media Super formulation in suspension concentrate. It is chloro-nicotinyl insecticide wit soil, seed and foliar use.
Media super effectively controls pest like rice hoppers, Whiteflies and termites.
Media super readily taken up by the plant & further distributed acropetally, with good root- systemic action.
Media Super is the ideal for IPM programme.",,https://www.dhanuka.com/storage/products/August2021/UrgZ34JAXjpcgVMuIM25.png,https://www.dhanuka.com/insecticide/media-super
